# HOMER Peaks
# Peak finding parameters:
# tag directory = homerNRSFTags/
#
# total peaks = 41866
# peak size = 187
# peaks found using tags on both strands
# minimum distance between peaks = 374
# fragment length = 136
# genome size = 2000000000
# Total tags = 17074091.0
# Total tags in peaks = 2549247.0
# Approximate IP efficiency = 14.93%
# tags per bp = 0.006415
# expected tags per peak = 1.200
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.778235e-07
# FDR tag threshold = 10.0
# number of putative peaks = 48586
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 6641
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 79
#
# cmd = findPeaks homerNRSFTags/ -style factor -o homerNRSFPeaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr11-1	chr11	66189173	66189359	+	12892.0	0.891	376.000000	138.95	0.00e+00	0.50
chr11-2	chr11	61334756	61334942	+	6495.2	0.950	372.000000	483.85	0.00e+00	0.51
chrM-5	chrM	12	198	+	6119.8	0.783	330.000000	22.50	0.00e+00	0.57
chr19-1	chr19	4769601	4769787	+	6113.4	0.869	375.000000	189.75	0.00e+00	0.50
chr19-2	chr19	50490456	50490642	+	5344.4	0.850	373.000000	119.21	0.00e+00	0.50
chr20-1	chr20	30556274	30556460	+	4608.7	0.943	370.000000	433.09	0.00e+00	0.51
chr5-1	chr5	176264716	176264902	+	4503.9	0.929	365.000000	310.77	0.00e+00	0.52
chr7-1	chr7	154861760	154861946	+	3966.2	0.912	366.000000	346.39	0.00e+00	0.51
chr1-2	chr1	26735117	26735303	+	3372.9	0.957	359.000000	341.18	0.00e+00	0.52
chr18-1	chr18	34850111	34850297	+	3004.6	0.952	363.000000	260.25	0.00e+00	0.52
chr8-1	chr8	142726216	142726402	+	2939.0	0.925	362.000000	354.66	0.00e+00	0.52
chr11-3	chr11	74925509	74925695	+	2909.1	0.951	359.000000	411.43	0.00e+00	0.52
chr20-2	chr20	10200225	10200411	+	2869.3	0.914	364.000000	280.87	0.00e+00	0.52
chr19-3	chr19	12943329	12943515	+	2851.1	0.860	362.000000	164.45	0.00e+00	0.52
chr8-11	chr8	145560305	145560491	+	2823.6	0.973	331.000000	269.60	0.00e+00	0.57
chr9-1	chr9	126872686	126872872	+	2690.0	0.974	357.000000	442.24	0.00e+00	0.53
chr1-1	chr1	33352239	33352425	+	2667.8	0.893	363.000000	292.18	0.00e+00	0.52
chr19-7	chr19	2740141	2740327	+	2649.0	0.952	351.000000	515.52	0.00e+00	0.54
chr4-1	chr4	1404320	1404506	+	2600.4	0.899	364.000000	200.01	0.00e+00	0.52
chr15-2	chr15	74583908	74584094	+	2595.7	0.927	358.000000	270.88	0.00e+00	0.53
chr6-2	chr6	69942852	69943038	+	2588.1	0.957	358.000000	591.02	0.00e+00	0.53
chr1-4	chr1	6305205	6305391	+	2549.5	0.959	352.000000	321.28	0.00e+00	0.53
chr9-3	chr9	128845061	128845247	+	2534.8	0.973	334.000000	508.76	0.00e+00	0.56
chr6-1	chr6	84569151	84569337	+	2472.2	0.915	362.000000	292.69	0.00e+00	0.52
chr12-11	chr12	2861851	2862037	+	2456.9	0.920	296.000000	255.95	0.00e+00	0.64
chr16-1	chr16	22824555	22824741	+	2432.3	0.961	343.000000	396.58	0.00e+00	0.55
chr19-5	chr19	51925311	51925497	+	2422.4	0.935	359.000000	523.24	0.00e+00	0.52
chr19-4	chr19	50828922	50829108	+	2348.6	0.936	360.000000	441.73	0.00e+00	0.52
chr4-2	chr4	6548426	6548612	+	2335.1	0.961	341.000000	589.21	0.00e+00	0.55
chr10-1	chr10	124671509	124671695	+	2308.8	0.946	357.000000	359.83	0.00e+00	0.53
chr3-4	chr3	67164320	67164506	+	2304.1	0.974	334.000000	986.50	0.00e+00	0.56
chr19-6	chr19	10806533	10806719	+	2291.2	0.945	356.000000	315.74	0.00e+00	0.53
chr1-8	chr1	35390514	35390700	+	2218.0	0.945	340.000000	329.94	0.00e+00	0.55
chr3-1	chr3	38847370	38847556	+	2210.4	0.915	357.000000	340.01	0.00e+00	0.53
chr8-5	chr8	140732536	140732722	+	2209.2	0.924	345.000000	374.19	0.00e+00	0.55
chr20-3	chr20	36255477	36255663	+	2206.9	0.938	355.000000	323.99	0.00e+00	0.53
chr15-1	chr15	75287653	75287839	+	2167.0	0.910	361.000000	270.73	0.00e+00	0.52
chr20-4	chr20	35012513	35012699	+	2161.8	0.936	346.000000	220.36	0.00e+00	0.55
chr10-3	chr10	98841474	98841660	+	2161.2	0.968	336.000000	398.93	0.00e+00	0.56
chr1-3	chr1	11610833	11611019	+	2154.1	0.906	357.000000	194.65	0.00e+00	0.53
chr7-2	chr7	75831103	75831289	+	2121.9	0.942	345.000000	361.35	0.00e+00	0.55
chr3-3	chr3	56528807	56528993	+	2121.3	0.956	335.000000	610.48	0.00e+00	0.56
chr15-3	chr15	64162861	64163047	+	2076.8	0.917	352.000000	409.40	0.00e+00	0.53
chr2-2	chr2	163697220	163697406	+	2037.6	0.968	335.000000	570.35	0.00e+00	0.56
chr19-11	chr19	52111309	52111495	+	2034.1	0.949	345.000000	463.85	0.00e+00	0.55
chr9-2	chr9	134989591	134989777	+	2011.2	0.957	342.000000	463.25	0.00e+00	0.55
chr1-7	chr1	159147184	159147370	+	1957.9	0.931	344.000000	300.63	0.00e+00	0.55
chr14-1	chr14	36004475	36004661	+	1945.1	0.932	340.000000	270.96	0.00e+00	0.55
chr3-12	chr3	44574414	44574600	+	1922.2	0.959	306.000000	869.03	0.00e+00	0.62
chr5-2	chr5	151304214	151304400	+	1915.8	0.950	349.000000	241.88	0.00e+00	0.54
chr3-2	chr3	123005230	123005416	+	1912.8	0.958	345.000000	453.13	0.00e+00	0.55
chr8-9	chr8	28514841	28515027	+	1905.8	0.966	339.000000	260.06	0.00e+00	0.55
chr17-2	chr17	2653140	2653326	+	1902.9	0.937	353.000000	290.09	0.00e+00	0.53
chr6-6	chr6	35772976	35773162	+	1863.6	0.939	337.000000	265.98	0.00e+00	0.56
chr8-2	chr8	10847769	10847955	+	1855.4	0.878	353.000000	160.16	0.00e+00	0.53
chr1-6	chr1	98513863	98514049	+	1836.7	0.947	344.000000	256.72	0.00e+00	0.55
chr8-8	chr8	56015476	56015662	+	1834.9	0.917	340.000000	185.02	0.00e+00	0.55
chr1-14	chr1	21985715	21985901	+	1812.1	0.941	329.000000	270.88	0.00e+00	0.57
chrX-1	chrX	153140911	153141097	+	1764.1	0.930	347.000000	205.94	0.00e+00	0.54
chr8-6	chr8	41753488	41753674	+	1760.0	0.954	344.000000	202.81	0.00e+00	0.55
chr1-15	chr1	153395034	153395220	+	1757.0	0.959	329.000000	400.18	0.00e+00	0.57
chr19-9	chr19	44293309	44293495	+	1741.2	0.937	347.000000	307.51	0.00e+00	0.54
chr6-3	chr6	90605116	90605302	+	1726.6	0.931	356.000000	260.52	0.00e+00	0.53
chr16-2	chr16	71501757	71501943	+	1686.8	0.946	341.000000	329.03	0.00e+00	0.55
chr19-25	chr19	7627805	7627991	+	1652.2	0.956	321.000000	266.45	0.00e+00	0.58
chr1-5	chr1	154540370	154540556	+	1641.1	0.896	349.000000	206.21	0.00e+00	0.54
chr10-5	chr10	106584265	106584451	+	1641.1	0.963	325.000000	377.99	0.00e+00	0.58
chr2-1	chr2	219827651	219827837	+	1630.5	0.920	351.000000	104.54	0.00e+00	0.54
chr6-4	chr6	158957148	158957334	+	1625.3	0.937	351.000000	203.93	0.00e+00	0.54
chr15-4	chr15	51973628	51973814	+	1618.8	0.941	348.000000	289.83	0.00e+00	0.54
chr19-13	chr19	55728418	55728604	+	1618.8	0.904	343.000000	98.36	0.00e+00	0.55
chr17-7	chr17	72667465	72667651	+	1613.0	0.882	345.000000	188.90	0.00e+00	0.54
chr4-3	chr4	158141456	158141642	+	1608.3	0.903	336.000000	189.65	0.00e+00	0.56
chr15-6	chr15	70268816	70269002	+	1605.9	0.940	331.000000	59.12	0.00e+00	0.57
chr19-15	chr19	5404151	5404337	+	1592.5	0.969	337.000000	301.43	0.00e+00	0.56
chr11-4	chr11	46414182	46414368	+	1577.2	0.890	353.000000	115.92	0.00e+00	0.53
chr17-1	chr17	80372672	80372858	+	1571.4	0.865	354.000000	116.61	0.00e+00	0.53
chr12-3	chr12	72332575	72332761	+	1560.3	0.920	340.000000	326.80	0.00e+00	0.55
chr12-1	chr12	109458668	109458854	+	1559.1	0.919	344.000000	316.40	0.00e+00	0.55
chr8-7	chr8	50824180	50824366	+	1552.1	0.939	342.000000	185.28	0.00e+00	0.55
chr10-4	chr10	50970383	50970569	+	1549.1	0.944	329.000000	298.04	0.00e+00	0.57
chr19-8	chr19	36370783	36370969	+	1547.4	0.927	348.000000	206.92	0.00e+00	0.54
chr11-15	chr11	126431291	126431477	+	1544.4	0.900	323.000000	224.28	0.00e+00	0.58
chr20-8	chr20	62284602	62284788	+	1538.6	0.951	328.000000	343.65	0.00e+00	0.57
chr17-21	chr17	27332961	27333147	+	1520.4	0.961	310.000000	130.56	0.00e+00	0.61
chr11-13	chr11	84425391	84425577	+	1515.7	0.971	326.000000	558.88	0.00e+00	0.58
chr19-18	chr19	36319673	36319859	+	1511.6	0.943	331.000000	272.52	0.00e+00	0.57
chr1-25	chr1	202662189	202662375	+	1509.3	0.918	318.000000	206.61	0.00e+00	0.59
chr11-6	chr11	66057087	66057273	+	1506.4	0.875	348.000000	147.96	0.00e+00	0.54
chr19-12	chr19	57149434	57149620	+	1499.3	0.893	345.000000	127.94	0.00e+00	0.55
chr22-2	chr22	31198837	31199023	+	1499.3	0.940	338.000000	146.06	0.00e+00	0.56
chr5-13	chr5	63259027	63259213	+	1494.1	0.963	316.000000	552.73	0.00e+00	0.59
chr17-15	chr17	33033154	33033340	+	1477.1	0.964	323.000000	38.97	0.00e+00	0.58
chr1-17	chr1	38230046	38230232	+	1474.7	0.941	328.000000	186.61	0.00e+00	0.58
chr7-4	chr7	100808768	100808954	+	1457.8	0.939	335.000000	106.19	0.00e+00	0.56
chr12-2	chr12	11653629	11653815	+	1453.1	0.891	340.000000	198.37	0.00e+00	0.55
chr15-7	chr15	48483139	48483325	+	1453.1	0.923	330.000000	313.84	0.00e+00	0.57
chr17-8	chr17	58217254	58217440	+	1449.0	0.903	343.000000	151.01	0.00e+00	0.55
chr17-3	chr17	6172944	6173130	+	1444.9	0.926	348.000000	160.76	0.00e+00	0.54
chr22-1	chr22	39941884	39942070	+	1442.5	0.926	339.000000	197.33	0.00e+00	0.55
chr5-3	chr5	140420766	140420952	+	1439.0	0.931	344.000000	347.10	0.00e+00	0.55
chr19-21	chr19	17799062	17799248	+	1423.8	0.951	328.000000	177.11	0.00e+00	0.58
chr6-8	chr6	146349445	146349631	+	1405.6	0.957	322.000000	254.22	0.00e+00	0.59
chr17-26	chr17	61600418	61600604	+	1402.1	0.959	287.000000	317.91	0.00e+00	0.65
chr17-4	chr17	78414963	78415149	+	1401.5	0.940	347.000000	162.25	0.00e+00	0.54
chr1-9	chr1	21974498	21974684	+	1400.4	0.950	337.000000	224.51	0.00e+00	0.56
chr17-5	chr17	26335635	26335821	+	1399.2	0.915	346.000000	211.41	0.00e+00	0.54
chr9-4	chr9	37027605	37027791	+	1398.6	0.932	330.000000	209.73	0.00e+00	0.57
chrX-2	chrX	49056504	49056690	+	1397.4	0.918	335.000000	293.42	0.00e+00	0.56
chr20-5	chr20	31797638	31797824	+	1389.8	0.951	331.000000	232.23	0.00e+00	0.57
chr10-2	chr10	50815058	50815244	+	1377.5	0.915	336.000000	239.61	0.00e+00	0.56
chr16-3	chr16	67219353	67219539	+	1372.3	0.917	340.000000	231.93	0.00e+00	0.55
chr17-13	chr17	43935480	43935666	+	1371.7	0.939	324.000000	289.05	0.00e+00	0.58
chr20-7	chr20	5892261	5892447	+	1368.2	0.922	329.000000	306.20	0.00e+00	0.57
chr17-11	chr17	6207101	6207287	+	1355.9	0.912	336.000000	146.44	0.00e+00	0.56
chr8-3	chr8	136332722	136332908	+	1355.3	0.927	347.000000	179.74	0.00e+00	0.54
chr6-7	chr6	33780550	33780736	+	1347.1	0.933	330.000000	203.87	0.00e+00	0.57
chr19-14	chr19	55691464	55691650	+	1344.1	0.921	338.000000	180.74	0.00e+00	0.56
chr11-5	chr11	66186255	66186441	+	1302.0	0.881	351.000000	4.16	0.00e+00	0.54
chr15-5	chr15	72612077	72612263	+	1302.0	0.900	340.000000	170.14	0.00e+00	0.55
chr17-6	chr17	33030726	33030912	+	1300.2	0.950	346.000000	31.60	0.00e+00	0.55
chr1-10	chr1	30448030	30448216	+	1299.6	0.913	336.000000	170.68	0.00e+00	0.56
chr20-16	chr20	4544274	4544460	+	1293.2	0.976	307.000000	303.70	0.00e+00	0.61
chr19-10	chr19	55948815	55949001	+	1286.7	0.922	347.000000	194.39	0.00e+00	0.54
chr5-9	chr5	175223935	175224121	+	1286.2	0.904	324.000000	194.72	0.00e+00	0.58
chr18-5	chr18	54774459	54774645	+	1272.1	0.961	301.000000	312.27	0.00e+00	0.63
chr22-3	chr22	45371538	45371724	+	1269.8	0.951	332.000000	401.45	0.00e+00	0.57
chr20-6	chr20	1986565	1986751	+	1265.7	0.946	330.000000	250.22	0.00e+00	0.57
chr19-17	chr19	3244121	3244307	+	1261.6	0.927	336.000000	164.63	0.00e+00	0.56
chr1-18	chr1	47201502	47201688	+	1259.2	0.924	326.000000	300.96	0.00e+00	0.58
chr1-16	chr1	6112594	6112780	+	1258.0	0.934	328.000000	174.14	0.00e+00	0.57
chr16-4	chr16	3018860	3019046	+	1247.5	0.897	331.000000	155.67	0.00e+00	0.57
chr1-11	chr1	110698638	110698824	+	1243.4	0.936	333.000000	216.96	0.00e+00	0.57
chr2-4	chr2	42064199	42064385	+	1242.8	0.930	324.000000	297.32	0.00e+00	0.58
chr7-7	chr7	100701789	100701975	+	1241.1	0.947	320.000000	223.31	0.00e+00	0.59
chr5-5	chr5	141123072	141123258	+	1228.8	0.867	341.000000	129.09	0.00e+00	0.55
chr5-4	chr5	141114514	141114700	+	1222.9	0.923	341.000000	153.39	0.00e+00	0.55
chr6-5	chr6	88146233	88146419	+	1214.7	0.929	342.000000	233.26	0.00e+00	0.55
chr2-8	chr2	217236994	217237180	+	1214.1	0.929	319.000000	247.11	0.00e+00	0.59
chr7-3	chr7	126747867	126748053	+	1212.9	0.905	342.000000	163.69	0.00e+00	0.55
chr19-27	chr19	52056536	52056722	+	1204.2	0.943	319.000000	235.45	0.00e+00	0.59
chr19-16	chr19	18344023	18344209	+	1201.8	0.816	337.000000	62.18	0.00e+00	0.56
chr19-22	chr19	45017073	45017259	+	1201.2	0.953	327.000000	430.30	0.00e+00	0.57
chr11-8	chr11	105543916	105544102	+	1193.0	0.933	336.000000	415.11	0.00e+00	0.56
chr16-5	chr16	89992804	89992990	+	1190.1	0.929	327.000000	89.78	0.00e+00	0.58
chr2-7	chr2	119924750	119924936	+	1188.4	0.954	322.000000	237.55	0.00e+00	0.59
chr8-13	chr8	67089799	67089985	+	1186.6	0.925	322.000000	93.57	0.00e+00	0.59
chr3-8	chr3	157815951	157816137	+	1184.3	0.939	314.000000	334.55	0.00e+00	0.61
