======================================================================
SISSRs: A tool to identify binding sites from ChIP-Seq data
======================================================================
SISSRs version 1.4 (Release date: Mon, 24 November 2008)

For further information on how to interpret these results or to get
a recent version of the SISSRs software, please visit
http://sissrs.rajajothi.com
======================================================================


======================================================================
REFERENCE
======================================================================
If you use this program in your research, please cite:

Raja Jothi, Suresh Cuddapah, Artem Barski, Kairong Cui, Keji Zhao
Genome-wide identification of in vivo protein-DNA binding sites
from ChIP-Seq Data. Nucleic Acids Research, 36(16):5221-31 (2008)
======================================================================


======================================================================
COMMAND LINE SUMMARY & ESTIMATED PARAMETERS
======================================================================
Data file (i)                           : mm10-C57BL7-ThioMac-PU1-notx.bed
Number of tags in the data file         : 11162225
Number of tags selected for analysis    : 11162225 (100.00%)
Tags mapped to sense strand             : 5850700 (52.42%)
Tags mapped to anti-sense strand        : 5311525 (47.58%)
Background model (Negative Control)     : Poisson
Genome length (s)                       : 2505020000
Fraction of genome mappable by reads (m): 0.80
Effective Genome length  (s*m)          : 2004016000
False discovery rate (d)                : 0.001
Scanning window size (w)                : 20
Average DNA fragment length (f)         : 105
Minimum number of 'directional' tags
  required on each side of the inferred
  binding site (E)                      : 2
Keep one tag per genomic position (a)   : NO
Also reports binding sites supported
  only by reads mapped to either sense
  or anti-sense strand (u)              : NO
======================================================================


======================================================================
BINDING SITES
======================================================================
Tags necessary to identify binding sites: 9 (FDR < 1.00e-03)
(at least E=2 tags on each side)

Chr	cStart	cEnd	NumTags
---	------	----	-------
chr1_GL456210_random	4531	4631	9
chr1_GL456212_random	27951	27991	10
chr1_GL456221_random	36611	36651	18
chr1_GL456213_random	38691	38731	53
chr1_GL456213_random	39051	39091	12
chr1_GL456210_random	65811	65851	12
chr1_GL456211_random	100291	100351	9
chr1_GL456221_random	125151	125311	9
chr1_GL456210_random	137871	137931	16
chr1_GL456211_random	141291	141331	9
chr1_GL456211_random	167591	167651	14
chr1_GL456211_random	222591	222651	12
chr1	3052851	3052931	17
chr1	3059831	3059891	16
chr1	4785671	4785711	9
chr1	4785851	4785891	11
chr1	4807531	4807571	24
chr1	4807831	4807871	19
chr1	4857691	4857731	53
chr1	4858751	4858791	14
chr1	4868231	4868311	9
chr1	4870711	4870751	15
chr1	4907171	4907211	14
chr1	4907431	4907531	17
chr1	5083071	5083131	54
chr1	5083251	5083391	12
chr1	5084491	5084571	12
chr1	5231371	5231411	10
chr1	6170611	6170711	13
chr1	6214591	6214631	25
chr1	6282891	6282931	9
chr1	6406311	6406351	9
chr1	6406431	6406471	22
chr1	6406551	6406611	11
chr1	6406751	6406811	15
chr1	6419211	6419271	10
chr1	6453711	6453751	51
chr1	6454451	6454491	74
chr1	6465031	6465071	41
chr1	6465231	6465271	57
chr1	6467151	6467191	31
chr1	6481451	6481491	13
chr1	6493651	6493691	12
chr1	6496751	6496851	15
chr1	6499011	6499051	47
chr1	6556851	6556891	9
chr1	6586431	6586471	13
chr1	6624731	6624771	18
chr1	6676651	6676771	9
chr1	7086131	7086191	10
chr1	7088691	7088731	9
chr1	7111671	7111711	14
chr1	7111871	7111911	11
chr1	7113031	7113071	10
chr1	7114071	7114111	46
chr1	7140631	7140691	10
chr1	7395571	7395631	34
chr1	7397871	7397951	44
chr1	7398171	7398211	39
chr1	7824171	7824231	18
chr1	9237171	9237231	25
chr1	9545171	9545211	19
chr1	9546591	9546691	10
chr1	9548071	9548111	12
chr1	9593871	9593911	20
chr1	9597551	9597611	13
chr1	9673891	9673931	35
chr1	9700651	9700691	9
chr1	9745071	9745111	30
chr1	9745551	9745611	10
chr1	9747631	9747831	17
chr1	9748271	9748311	113
chr1	9748571	9748611	175
chr1	9769731	9769771	88
chr1	9773171	9773211	24
chr1	9773351	9773391	16
chr1	9797271	9797311	129
chr1	9798171	9798211	19
chr1	9806071	9806111	135
chr1	9813051	9813131	10
chr1	9815911	9815951	26
chr1	9825991	9826111	17
chr1	9857731	9857771	55
chr1	9859131	9859171	94
chr1	9876951	9876991	120
chr1	9879331	9879371	13
chr1	9882091	9882151	27
chr1	9886111	9886191	9
chr1	9893331	9893371	103
chr1	9905991	9906031	19
chr1	9944091	9944151	153
chr1	9945331	9945371	40
chr1	9953071	9953151	20
chr1	9970831	9970871	102
chr1	9991971	9992011	18
chr1	10037191	10037231	9
chr1	10038171	10038211	10
chr1	10038411	10038451	59
chr1	10177791	10177831	13
chr1	10232391	10232431	27
chr1	10232971	10233031	52
chr1	10268491	10268531	93
chr1	10269351	10269411	40
chr1	10280331	10280371	309
chr1	10297051	10297091	25
chr1	10880511	10880551	11
chr1	12865271	12865311	11
chr1	12876151	12876191	9
chr1	12983311	12983351	19
chr1	13176671	13176731	9
chr1	13188711	13188751	26
chr1	13207031	13207071	39
chr1	13245871	13245911	80
chr1	13256371	13256411	38
chr1	13267611	13267651	76
chr1	13291811	13291851	51
chr1	13311811	13311871	21
chr1	13321731	13321771	10
chr1	13328491	13328531	61
chr1	13336131	13336171	311
chr1	13346971	13347011	19
chr1	13360871	13360931	9
chr1	13366511	13366551	16
chr1	13367651	13367691	14
chr1	13372511	13372571	35
chr1	13372771	13372831	14
chr1	13374391	13374431	9
chr1	13375071	13375131	9
chr1	13424731	13424771	43
chr1	13426591	13426631	39
chr1	13448171	13448231	11
chr1	13454751	13454791	62
chr1	13513871	13513911	151
chr1	13521071	13521111	9
chr1	13585891	13585931	39
chr1	13589431	13589491	10
chr1	13589831	13589871	24
chr1	13590011	13590071	9
chr1	13593291	13593351	43
chr1	13628211	13628251	15
chr1	13645251	13645311	13
chr1	13648011	13648051	608
chr1	13652271	13652331	9
chr1	13659111	13659151	20
chr1	13772291	13772331	26
chr1	13840171	13840211	23
chr1	13865851	13865891	28
chr1	13874071	13874111	145
chr1	13883431	13883471	15
chr1	13980471	13980511	38
chr1	13984991	13985031	11
chr1	14095831	14095891	15
chr1	14104671	14104731	37
chr1	14105631	14105671	22
chr1	14105751	14105791	10
chr1	14144051	14144091	38
chr1	14225051	14225091	12
chr1	14297151	14297211	16
chr1	14301311	14301351	12
chr1	14304711	14304771	11
chr1	14579591	14579631	53
chr1	14582611	14582651	9
chr1	14590891	14590951	11
chr1	14594011	14594091	14
chr1	14596071	14596131	139
chr1	14674031	14674071	22
chr1	14675171	14675211	36
chr1	14959551	14959591	10
chr1	15675171	15675211	35
chr1	15680171	15680211	12
chr1	15690991	15691031	22
chr1	15805831	15805891	27
chr1	15806051	15806091	32
chr1	16059931	16059971	10
chr1	16079191	16079311	15
chr1	16104971	16105011	19
chr1	16105831	16105871	26
chr1	16112191	16112251	15
chr1	16122371	16122411	13
chr1	16161831	16161891	25
chr1	16191411	16191471	13
chr1	16225631	16225671	9
chr1	16228351	16228391	116
chr1	16228751	16228791	18
chr1	16345191	16345251	20
chr1	16505051	16505111	10
chr1	16518811	16518851	19
chr1	16570931	16570971	110
chr1	16571031	16571091	10
chr1	16571151	16571191	20
chr1	16617831	16617871	105
chr1	16618091	16618131	10
chr1	16618191	16618271	13
chr1	16619331	16619391	9
chr1	16619851	16619911	9
chr1	16621311	16621351	109
chr1	16637731	16637771	97
chr1	16651271	16651331	21
chr1	16656671	16656711	9
chr1	16657031	16657071	97
chr1	16657351	16657391	22
chr1	16659651	16659691	59
chr1	16665091	16665231	10
chr1	16665791	16665831	16
chr1	16685411	16685451	35
chr1	16688151	16688211	25
chr1	16688331	16688371	107
chr1	16688731	16688771	12
chr1	16688911	16688951	13
chr1	16689691	16689731	17
chr1	16702991	16703031	42
chr1	16747391	16747431	38
chr1	16747511	16747551	48
chr1	16750851	16750911	20
chr1	16784591	16784651	10
chr1	16798431	16798471	75
chr1	17145311	17145371	11
chr1	17449471	17449511	23
chr1	17607291	17607331	16
chr1	17608111	17608151	68
chr1	17608511	17608571	10
chr1	20817271	20817311	48
chr1	20820311	20820451	24
chr1	20829511	20829551	44
chr1	20830031	20830131	13
chr1	20844371	20844431	9
chr1	20890431	20890471	18
chr1	20891171	20891211	10
chr1	20930531	20930591	15
chr1	20951411	20951451	15
chr1	20951611	20951651	10
chr1	20986411	20986511	10
chr1	21008991	21009031	37
chr1	21012711	21012771	20
chr1	21013771	21013851	10
chr1	21014571	21014671	21
chr1	21031791	21031831	12
chr1	21035851	21035891	19
chr1	21036031	21036071	55
chr1	21049191	21049231	53
chr1	21057271	21057311	9
chr1	21070251	21070291	58
chr1	21079271	21079371	13
chr1	21079591	21079631	33
chr1	21218591	21218631	21
chr1	21544071	21544131	10
chr1	21787671	21787751	13
chr1	21830031	21830071	10
chr1	21834251	21834291	13
chr1	21856591	21856631	14
chr1	21963611	21963671	11
chr1	23259791	23259831	10
chr1	23279951	23279991	20
chr1	23345791	23345851	11
chr1	23380271	23380311	269
chr1	23380511	23380571	18
chr1	23382111	23382151	26
chr1	23383511	23383551	56
chr1	23385131	23385191	11
chr1	23419131	23419171	53
chr1	23432291	23432331	20
chr1	23433791	23433831	73
chr1	23466511	23466551	32
chr1	23792931	23792991	41
chr1	23867531	23867591	51
chr1	23920931	23920971	23
chr1	23983231	23983291	47
chr1	24005211	24005251	31
chr1	24102951	24102991	25
chr1	24471451	24471491	10
chr1	24550731	24550771	19
chr1	24553571	24553611	109
