chr	start	end	NumTags
chr1	714011	714171	26
chr1	805191	805391	16
chr1	837611	837671	12
chr1	839211	839351	19
chr1	840171	840231	40
chr1	842311	842431	16
chr1	846751	846811	13
chr1	848611	848671	14
chr1	851951	852151	20
chr1	852751	852811	16
chr1	856051	856111	14
chr1	856551	856651	91
chr1	859191	859251	61
chr1	859511	860231	17
chr1	860631	860731	14
chr1	873511	873571	13
chr1	874591	874651	13
chr1	875031	875071	15
chr1	875591	875771	49
chr1	875991	876251	23
chr1	877011	877071	20
chr1	877231	877291	63
chr1	877931	877991	14
chr1	878631	878671	18
chr1	878851	878911	12
chr1	879291	879331	16
chr1	879711	879751	14
chr1	880011	880191	13
chr1	894351	894651	31
chr1	895931	896111	22
chr1	896291	896371	24
chr1	896611	896831	17
chr1	896951	897111	14
chr1	897231	897271	12
chr1	898611	898731	12
chr1	901331	901451	21
chr1	901651	902051	24
chr1	902271	902591	37
chr1	911411	911911	24
chr1	913571	913811	17
chr1	915011	915051	12
chr1	915751	915911	16
chr1	932451	932491	12
chr1	932791	932871	13
chr1	933491	933551	12
chr1	933791	933831	17
chr1	934451	934511	27
chr1	934691	934731	21
chr1	935051	935131	19
chr1	935451	936251	66
chr1	936471	936511	19
chr1	937171	937371	41
chr1	940411	940731	28
chr1	948791	948851	30
chr1	949311	949531	17
chr1	951611	951651	13
chr1	954691	955071	23
chr1	955511	955971	21
chr1	956311	956371	19
chr1	956631	956871	37
chr1	968451	968931	31
chr1	975831	976211	33
chr1	976771	976831	12
chr1	980991	981051	12
chr1	990591	990631	14
chr1	991671	991711	13
chr1	993791	993871	26
chr1	994491	994551	14
chr1	994911	995051	34
chr1	995311	995351	15
chr1	997191	997231	13
chr1	998111	998151	19
chr1	998971	999011	13
chr1	999351	999391	33
chr1	999771	999811	55
chr1	1000051	1000091	16
chr1	1003191	1003231	12
chr1	1003531	1003571	13
chr1	1003851	1003911	12
chr1	1004231	1004291	14
chr1	1004671	1005351	42
chr1	1006091	1006131	14
chr1	1008831	1008891	12
chr1	1010551	1010591	12
chr1	1014871	1015371	44
chr1	1015651	1015771	30
chr1	1016671	1016831	16
chr1	1017131	1017191	12
chr1	1017711	1017771	13
chr1	1020131	1020171	12
chr1	1021471	1021511	13
chr1	1021831	1021871	13
chr1	1045311	1045411	12
chr1	1046031	1046191	15
chr1	1051271	1051331	16
chr1	1051531	1051571	35
chr1	1052011	1052371	15
chr1	1052891	1052951	15
chr1	1057451	1057511	15
chr1	1057711	1057751	25
chr1	1062871	1062911	12
chr1	1064951	1065011	12
chr1	1066311	1066371	12
chr1	1068791	1068831	12
chr1	1070291	1070351	13
chr1	1071271	1071371	13
chr1	1072811	1072851	13
chr1	1079851	1079891	14
chr1	1080791	1080851	12
chr1	1081031	1081071	15
chr1	1091771	1091831	12
chr1	1092951	1092991	39
chr1	1093471	1094211	34
chr1	1108511	1108631	16
chr1	1116031	1116091	12
chr1	1120591	1121111	19
chr1	1136351	1136451	21
chr1	1136891	1136951	53
chr1	1139271	1139471	19
chr1	1143671	1143831	19
chr1	1144571	1144611	14
chr1	1148931	1149131	17
chr1	1151311	1151351	17
chr1	1151791	1151951	15
chr1	1152651	1152691	12
chr1	1153031	1153111	12
chr1	1156211	1156271	12
chr1	1157451	1157591	14
chr1	1158031	1158211	13
chr1	1166851	1167031	20
chr1	1167231	1167451	47
chr1	1167611	1167751	22
chr1	1167951	1168131	18
chr1	1168331	1168371	16
chr1	1172831	1172871	15
chr1	1174051	1174211	12
chr1	1175311	1175371	14
chr1	1177351	1177391	17
chr1	1178071	1178131	12
chr1	1179671	1179771	15
chr1	1186231	1186391	13
chr1	1208511	1208571	18
chr1	1208871	1209311	39
chr1	1209491	1209691	19
chr1	1221271	1221411	15
chr1	1225631	1225691	12
chr1	1226111	1226191	14
chr1	1226571	1226611	16
chr1	1226871	1227471	23
chr1	1228711	1228831	13
chr1	1229031	1229271	21
chr1	1229451	1229591	21
chr1	1235471	1235591	25
chr1	1239991	1240051	12
chr1	1240311	1240351	21
chr1	1240691	1241211	44
chr1	1242871	1242911	17
chr1	1243171	1243831	41
chr1	1244071	1244311	38
chr1	1244471	1244651	16
chr1	1244871	1245431	22
chr1	1245711	1245791	16
chr1	1246871	1246951	13
chr1	1248431	1248491	19
chr1	1249571	1249751	18
chr1	1250411	1250471	12
chr1	1254391	1254451	15
chr1	1254891	1254951	13
chr1	1259851	1260691	30
chr1	1264131	1264171	13
chr1	1265291	1265351	26
chr1	1265551	1265651	24
chr1	1265791	1265931	17
chr1	1266251	1266491	13
chr1	1267011	1267211	16
chr1	1267531	1267771	18
chr1	1268051	1268111	18
chr1	1268271	1268391	13
chr1	1268731	1268871	19
chr1	1269011	1269171	25
chr1	1269411	1269611	20
chr1	1270271	1270431	16
chr1	1276471	1276511	12
chr1	1280151	1280191	15
chr1	1283371	1283591	29
chr1	1283931	1284051	14
chr1	1284231	1284531	25
chr1	1284751	1284791	22
chr1	1285151	1285211	23
chr1	1286951	1286991	13
chr1	1290051	1290191	14
chr1	1292551	1292591	17
chr1	1293611	1293651	13
chr1	1294071	1294131	37
chr1	1294311	1294351	19
chr1	1294571	1294611	14
chr1	1307631	1307671	35
chr1	1310351	1310391	23
chr1	1310651	1310871	96
chr1	1333371	1333471	16
chr1	1334431	1334591	19
chr1	1334891	1335311	66
chr1	1335531	1335591	18
chr1	1336311	1336351	15
chr1	1337651	1337731	17
chr1	1341831	1342291	14
chr1	1342451	1342851	48
chr1	1343031	1343271	22
chr1	1356391	1356431	12
chr1	1358031	1358131	12
chr1	1360851	1360911	12
chr1	1362191	1362251	15
chr1	1368551	1368611	29
chr1	1368811	1369051	43
chr1	1369251	1369551	20
chr1	1370111	1370151	17
chr1	1370591	1370751	17
chr1	1371071	1371171	38
chr1	1376411	1376691	25
chr1	1377871	1377911	12
chr1	1398091	1398151	13
chr1	1406911	1407131	29
chr1	1446951	1447211	24
chr1	1447391	1447451	45
chr1	1470991	1471131	16
chr1	1473751	1473791	12
chr1	1477971	1478031	12
chr1	1486931	1486991	15
chr1	1487551	1487651	12
chr1	1490131	1490171	12
chr1	1495751	1495791	15
chr1	1497251	1497331	15
chr1	1498411	1498451	14
chr1	1509551	1510511	42
chr1	1519151	1519211	15
chr1	1533031	1533111	13
chr1	1533811	1533871	12
chr1	1534991	1535331	17
chr1	1535891	1535931	13
chr1	1539431	1539491	12
chr1	1549771	1549951	13
chr1	1550751	1550791	40
chr1	1551011	1551211	42
chr1	1551431	1551471	16
chr1	1551691	1551871	17
chr1	1560671	1560731	13
chr1	1562371	1562411	12
chr1	1590511	1590691	18
chr1	1597231	1597511	14
chr1	1610411	1610471	13
chr1	1611971	1612031	14
chr1	1655631	1655991	26
chr1	1677851	1677891	14
chr1	1680471	1680571	14
chr1	1685671	1685711	12
chr1	1686951	1687051	15
chr1	1687571	1687611	12
chr1	1689751	1689911	14
chr1	1690391	1690491	89
chr1	1690691	1690771	24
chr1	1691391	1691451	15
chr1	1709471	1709531	23
chr1	1709711	1709811	21
chr1	1709951	1710151	25
chr1	1710331	1710411	45
chr1	1711791	1711911	25
chr1	1713651	1713851	16
chr1	1714071	1714111	34
chr1	1714551	1714691	22
chr1	1720471	1720571	13
chr1	1749551	1749671	14
chr1	1814971	1815031	16
chr1	1821531	1821691	23
chr1	1821851	1822011	14
chr1	1822531	1822671	50
chr1	1823131	1823311	17
chr1	1823491	1823531	19
chr1	1825531	1825591	13
chr1	1831031	1831071	15
chr1	1837811	1838051	27
chr1	1838591	1838631	16
chr1	1838911	1839091	14
chr1	1840011	1840211	20
chr1	1840411	1840451	42
chr1	1840811	1840851	33
chr1	1841171	1841351	13
chr1	1850011	1850091	12
chr1	1850231	1850311	15
chr1	1850571	1851451	59
chr1	1852731	1852791	12
chr1	1854271	1854311	12
chr1	1875591	1875831	20
chr1	1891651	1891691	23
chr1	1914931	1915011	15
chr1	1920651	1920691	21
chr1	1935011	1935151	25
chr1	1959091	1959151	12
chr1	1963491	1963531	12
chr1	1974731	1974791	14
chr1	1976291	1976631	14
chr1	1978091	1978151	20
chr1	1980911	1980971	13
chr1	2005511	2005571	12
chr1	2019851	2019911	14
chr1	2023251	2023311	12
chr1	2036031	2036171	13
chr1	2039651	2039871	12
chr1	2041031	2041091	15
chr1	2063951	2064011	19
chr1	2064771	2064811	46
chr1	2065051	2065091	23
chr1	2105851	2105951	19
chr1	2107291	2107471	26
chr1	2107671	2107771	27
chr1	2109751	2109791	16
chr1	2111011	2111271	16
chr1	2111531	2111691	30
chr1	2111951	2112011	58
chr1	2115691	2115751	13
chr1	2116111	2116211	15
chr1	2116671	2116811	16
chr1	2119151	2119211	16
chr1	2121151	2122111	59
chr1	2122331	2122451	12
chr1	2123531	2123571	12
chr1	2124931	2124991	13
chr1	2125531	2125571	20
chr1	2126111	2126151	19
chr1	2126491	2126531	40
chr1	2126671	2126911	23
chr1	2127251	2127311	12
chr1	2129011	2129311	19
chr1	2130031	2130071	18
chr1	2130411	2130751	41
chr1	2130931	2130991	18
chr1	2132031	2132071	12
chr1	2135991	2136051	20
chr1	2136711	2137231	33
chr1	2137411	2137451	21
chr1	2138631	2138671	22
chr1	2138851	2139331	21
chr1	2140071	2140111	13
chr1	2144231	2144491	27
chr1	2144771	2144891	14
chr1	2148111	2148171	18
chr1	2158471	2158851	26
chr1	2159071	2159211	60
chr1	2160611	2160671	20
chr1	2160851	2160911	25
chr1	2161131	2161171	18
chr1	2161611	2161651	14
chr1	2161851	2161891	24
chr1	2162431	2162471	13
chr1	2163051	2163151	14
chr1	2163371	2163471	14
chr1	2163731	2163791	14
chr1	2167191	2167311	12
chr1	2169471	2169531	13
chr1	2171651	2171691	14
chr1	2188311	2188371	13
chr1	2201651	2201711	13
chr1	2202811	2202871	15
