chr1-3345	chr1	79670917	79671071	+	27.4	0.931	18	5.59	2.63e-12	1.09
chr1-3194	chr1	79853669	79853823	+	24.4	0.897	19	4.12	1.41e-08	0.95
chr1-3347	chr1	80641345	80641499	+	23.4	0.958	18	5.07	6.47e-10	0.95
chr1-3627	chr1	51502465	51502619	+	22.4	0.962	16	4.38	1.96e-08	1.08
chr1-3475	chr1	55053082	55053236	+	22.4	0.75	17	4.82	3.74e-09	0.95
chr1-3395	chr1	162573868	162574022	+	22.4	0.857	18	4.4	1.85e-08	0.9
chr1-4327	chr1	95653681	95653835	+	21.3	0.957	13	6.71	2.51e-11	1.17
chr1-3560	chr1	155162261	155162415	+	21.3	0.955	17	4.39	3.96e-08	0.9
chr1-3448	chr1	16689638	16689792	+	20.3	0.909	17	4.06	2.75e-07	0.84
chr1-3578	chr1	171645169	171645323	+	20.3	0.76	17	4.55	4.63e-08	0.84
chr1-4171	chr1	177627895	177628049	+	20.3	0.952	14	7.27	1.88e-11	1.02
chr1-3996	chr1	24682035	24682189	+	19.3	0.95	14	5.76	2.58e-09	0.96
chr1-3321	chr1	43934782	43934936	+	19.3	0.909	18	4.4	1.63e-07	0.79
chr1-3924	chr1	153309059	153309213	+	19.3	0.8	15	5.93	1.63e-09	0.89
chr1-3743	chr1	153899288	153899442	+	19.3	0.864	16	5.47	5.76e-09	0.84
chr1-3942	chr1	171064522	171064676	+	19.3	0.85	15	6.86	1.51e-10	0.89
chr1-3764	chr1	177678146	177678300	+	19.3	0.905	16	4.65	7.03e-08	0.84
chr1-3959	chr1	177705776	177705930	+	19.3	0.905	15	5.5	5.37e-09	0.89
chr1-4002	chr1	36235070	36235224	+	18.3	0.864	14	6.43	1.24e-09	0.96
chr1-4487	chr1	37324607	37324761	+	18.3	0.857	12	5.25	2.61e-08	1.12
chr1-3837	chr1	63181166	63181320	+	18.3	0.783	15	4.7	1.34e-07	0.89
chr1-4283	chr1	74307670	74307824	+	18.3	0.783	13	5.16	3.4e-08	1.03
chr1-4058	chr1	80453075	80453229	+	18.3	0.88	14	4.25	5.64e-07	1.03
chr1-4305	chr1	87218067	87218221	+	18.3	0.895	13	5	5.36e-08	1.03
chr1-3889	chr1	105986918	105987072	+	18.3	0.905	15	4.44	2.97e-07	0.89
chr1-4090	chr1	120199115	120199269	+	18.3	0.818	14	4.58	1.9e-07	0.96
chr1-4107	chr1	131659716	131659870	+	18.3	0.947	14	5.81	5.78e-09	0.96
chr1-4707	chr1	165734412	165734566	+	18.3	0.947	12	5.35	1.98e-08	1.12
chr1-4712	chr1	166804112	166804266	+	18.3	0.9	12	5.67	8.41e-09	1.12
chr1-3944	chr1	171226356	171226510	+	18.3	0.667	15	4.43	3.14e-07	0.89
chr1-4188	chr1	181014807	181014961	+	18.3	0.95	14	5.67	8.41e-09	1.03
chr1-3973	chr1	184082503	184082657	+	18.3	0.8	15	5.16	3.4e-08	0.96
chr1-4497	chr1	39734535	39734689	+	17.3	0.81	12	6.43	3.51e-09	1.14
chr1-4034	chr1	58713625	58713779	+	17.3	0.857	14	5.43	3.91e-08	0.96
chr1-4271	chr1	64362875	64363029	+	17.3	0.789	13	4.33	8.83e-07	0.96
chr1-4558	chr1	82827935	82828089	+	17.3	0.895	12	6.32	4.54e-09	1.04
chr1-4064	chr1	85792552	85792706	+	17.3	0.895	14	5.01	1.22e-07	0.89
chr1-4348	chr1	131915371	131915525	+	17.3	0.818	13	4.01	2.43e-06	1.04
chr1-4349	chr1	132008605	132008759	+	17.3	0.905	13	5.1	9.43e-08	0.96
chr1-3911	chr1	134457904	134458058	+	17.3	0.958	15	4.9	1.67e-07	0.96
chr1-3913	chr1	135692002	135692156	+	17.3	0.95	15	4.99	1.3e-07	0.83
chr1-3919	chr1	144311102	144311256	+	17.3	0.889	15	4.77	2.41e-07	0.83
chr1-3926	chr1	153802571	153802725	+	17.3	0.714	15	4.09	1.9e-06	0.83
chr1-4015	chr1	39759264	39759418	+	16.3	0.842	14	4.61	8.3e-07	0.83
chr1-3834	chr1	60860735	60860889	+	16.3	0.9	15	4.63	7.83e-07	0.89
chr1-5238	chr1	66814828	66814982	+	16.3	0.941	10	7.47	1.27e-09	1.16
chr1-4054	chr1	74303877	74304031	+	16.3	0.8	14	4.12	3.35e-06	0.83
chr1-5267	chr1	80722777	80722931	+	16.3	0.895	10	6.47	9.13e-09	1.16
chr1-4068	chr1	86526232	86526386	+	16.3	0.778	14	4.63	7.83e-07	0.89
chr1-3878	chr1	87854769	87854923	+	16.3	0.762	15	4.53	1.04e-06	0.77
chr1-4086	chr1	105794234	105794388	+	16.3	0.889	14	4.21	2.6e-06	0.83
chr1-4605	chr1	125450215	125450369	+	16.3	0.842	12	5.09	2.3e-07	0.97
chr1-4637	chr1	135720330	135720484	+	16.3	0.842	12	7.75	7.51e-10	0.97
chr1-4659	chr1	151757174	151757328	+	16.3	0.889	12	8.05	4.36e-10	0.97
chr1-4374	chr1	151999727	151999881	+	16.3	0.882	13	5.09	2.3e-07	0.89
chr1-4375	chr1	152025495	152025649	+	16.3	0.8	13	4.28	2.11e-06	0.89
chr1-4663	chr1	152596991	152597145	+	16.3	0.941	12	5.19	1.76e-07	0.97
chr1-4664	chr1	152625160	152625314	+	16.3	0.773	12	6.31	1.28e-08	0.97
chr1-4379	chr1	152779201	152779355	+	16.3	0.762	13	5.71	4.95e-08	0.89
chr1-4680	chr1	157017631	157017785	+	16.3	0.947	12	4.65	7.39e-07	0.97
chr1-5415	chr1	160049211	160049365	+	16.3	0.95	10	7.47	1.27e-09	1.16
chr1-3941	chr1	170981258	170981412	+	16.3	0.941	15	5.01	2.79e-07	0.77
chr1-4735	chr1	178342198	178342352	+	16.3	0.692	12	4.85	4.32e-07	1.05
chr1-4196	chr1	185199684	185199838	+	16.3	0.85	14	4.53	1.04e-06	0.89
chr1-4000	chr1	36071174	36071328	+	15.2	0.68	14	4.52	2.25e-06	0.76
chr1-4522	chr1	59485457	59485611	+	15.2	0.9	12	4.61	1.79e-06	0.89
chr1-4596	chr1	106001713	106001867	+	15.2	0.75	12	6.11	5.51e-08	0.97
chr1-4335	chr1	125505049	125505203	+	15.2	0.938	13	4.77	1.18e-06	0.82
chr1-3910	chr1	134304760	134304914	+	15.2	0.75	15	4.1	7.19e-06	0.82
chr1-4676	chr1	156718320	156718474	+	15.2	0.875	12	5.3	3.29e-07	0.89
chr1-4694	chr1	161076405	161076559	+	15.2	0.938	12	6.66	1.82e-08	0.89
chr1-5913	chr1	171211627	171211781	+	15.2	0.941	9	8.8	4.64e-10	1.18
chr1-4729	chr1	172639149	172639303	+	15.2	0.938	12	4.44	2.81e-06	0.89
chr1-5937	chr1	177704276	177704430	+	15.2	0.737	9	4.15	6.19e-06	1.18
chr1-4438	chr1	180434270	180434424	+	15.2	0.789	13	4.8	1.12e-06	0.82
chr1-4441	chr1	181211947	181212101	+	15.2	0.824	13	4.87	9.28e-07	0.82
chr1-4476	chr1	30949019	30949173	+	14.2	0.867	12	8.14	4.61e-09	0.81
chr1-5161	chr1	34844533	34844687	+	14.2	0.75	10	6.89	3.58e-08	0.97
chr1-4226	chr1	34856694	34856848	+	14.2	0.889	13	4.92	1.88e-06	0.75
chr1-4809	chr1	39499795	39499949	+	14.2	0.682	11	4.86	2.13e-06	0.88
chr1-5201	chr1	52655241	52655395	+	14.2	0.667	10	5.39	6.52e-07	1.08
chr1-4540	chr1	64945015	64945169	+	14.2	0.571	12	6.39	8.75e-08	0.81
chr1-5252	chr1	74424359	74424513	+	14.2	0.875	10	7.59	1.1e-08	0.97
chr1-4295	chr1	84184941	84185095	+	14.2	0.938	13	4.92	1.88e-06	0.81
chr1-4563	chr1	84222533	84222687	+	14.2	0.933	12	4.95	1.76e-06	0.81
chr1-4900	chr1	86467715	86467869	+	14.2	0.812	11	6.09	1.57e-07	0.88
chr1-5697	chr1	87897911	87898065	+	14.2	0.933	9	9.13	1.09e-09	1.08
chr1-4912	chr1	91180340	91180494	+	14.2	0.7	11	8.86	1.59e-09	0.97
chr1-4606	chr1	125450557	125450711	+	14.2	0.727	12	4.39	6.77e-06	0.88
chr1-4620	chr1	131464892	131465046	+	14.2	0.933	12	4.69	3.24e-06	0.81
chr1-4967	chr1	133123556	133123710	+	14.2	0.824	11	4.71	3.06e-06	0.97
chr1-5004	chr1	152673903	152674057	+	14.2	0.778	11	8.06	5.16e-09	0.97
chr1-5046	chr1	165639657	165639811	+	14.2	0.842	11	5.81	2.71e-07	0.88
chr1-4717	chr1	170862482	170862636	+	14.2	0.875	12	5.93	2.15e-07	0.81
chr1-4431	chr1	178337646	178337800	+	14.2	0.882	13	4.86	2.13e-06	0.75
chr1-4736	chr1	178491536	178491690	+	14.2	0.875	12	4.05	1.63e-05	0.81
chr1-4742	chr1	180331630	180331784	+	14.2	0.875	12	4.37	7.14e-06	0.88
chr1-5101	chr1	180904155	180904309	+	14.2	0.833	11	5.63	3.95e-07	0.88
chr1-4446	chr1	184031431	184031585	+	14.2	0.778	13	6.89	3.58e-08	0.81
chr1-4771	chr1	191318334	191318488	+	14.2	0.696	12	5.23	9.2e-07	0.81
chr1-5524	chr1	192092669	192092823	+	14.2	0.667	10	5.77	2.93e-07	0.97
chr1-5130	chr1	192752556	192752710	+	14.2	0.625	11	5.89	2.33e-07	0.97
chr1-5154	chr1	21013774	21013928	+	13.2	0.684	10	4.72	6.62e-06	0.97
chr1-5165	chr1	36073392	36073546	+	13.2	0.765	10	4.26	1.91e-05	0.97
chr1-5565	chr1	36962489	36962643	+	13.2	0.867	9	8.94	5.46e-09	1.08
chr1-5567	chr1	37296155	37296309	+	13.2	0.929	9	4.28	1.81e-05	1.08
chr1-4493	chr1	39480597	39480751	+	13.2	0.778	12	4.59	8.87e-06	0.97
chr1-6678	chr1	45838881	45839035	+	13.2	0.867	7	14.84	1.19e-11	1.39
chr1-5603	chr1	56980906	56981060	+	13.2	0.688	9	4.07	3.02e-05	1.08
chr1-4848	chr1	60617027	60617181	+	13.2	0.929	11	5.47	1.39e-06	0.88
