# HOMER Peaks
# Peak finding parameters:
# tag directory = homerGABPTags/
#
# total peaks = 19699
# peak size = 217
# peaks found using tags on both strands
# minimum distance between peaks = 434
# fragment length = 140
# genome size = 2000000000
# Total tags = 11439217.0
# Total tags in peaks = 361164.0
# Approximate IP efficiency = 3.16%
# tags per bp = 0.004458
# expected tags per peak = 0.967
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.621535e-07
# FDR tag threshold = 9.0
# number of putative peaks = 27328
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 7591
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 38
#
# cmd = findPeaks homerGABPTags/ -style factor -o homerGABPPeaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-2	chr1	121484655	121484871	+	1148.7	0.603	247.000000	7.44	0.00e+00	0.87
chrM-1	chrM	1	210	+	922.3	0.635	258.000000	25.97	0.00e+00	0.84
chr21-1	chr21	9826022	9826238	+	808.6	0.668	343.000000	11.20	0.00e+00	0.61
chr1-1	chr1	156186307	156186523	+	778.9	0.615	325.000000	78.87	0.00e+00	0.64
chr21-2	chr21	9825493	9825709	+	739.6	0.646	339.000000	10.06	0.00e+00	0.62
chr21-3	chr21	9827306	9827522	+	582.2	0.598	264.000000	7.55	0.00e+00	0.76
chr7-1	chr7	61969247	61969463	+	526.3	0.567	189.000000	24.00	0.00e+00	1.07
chr20-1	chr20	26190015	26190231	+	480.8	0.617	216.000000	21.75	0.00e+00	0.89
chr13-1	chr13	41345251	41345467	+	460.7	0.957	226.000000	115.33	0.00e+00	0.83
chr11-1	chr11	47600448	47600664	+	398.6	0.954	207.000000	183.55	0.00e+00	0.85
chrM-2	chrM	16111	16327	+	390.8	0.590	206.000000	7.71	1.94e-229	0.88
chr1-4	chr1	91852902	91853118	+	389.9	0.551	205.000000	82.37	0.00e+00	0.87
chr21-4	chr21	46359765	46359981	+	369.8	0.956	193.000000	200.74	0.00e+00	0.88
chr16-1	chr16	740368	740584	+	363.7	0.912	203.000000	88.05	0.00e+00	0.84
chr1-3	chr1	10003336	10003552	+	360.2	0.909	206.000000	285.76	0.00e+00	0.82
chr17-2	chr17	33478067	33478283	+	354.0	0.732	154.000000	136.26	0.00e+00	1.09
chr1-5	chr1	38455645	38455861	+	343.6	0.939	190.000000	146.43	0.00e+00	0.88
chr19-1	chr19	50083822	50084038	+	314.7	0.882	180.000000	116.76	0.00e+00	0.88
chr11-2	chr11	85194949	85195165	+	311.2	0.731	166.000000	164.83	0.00e+00	0.94
chr20-3	chr20	26188857	26189073	+	306.0	0.534	143.000000	11.78	3.28e-238	1.15
chr9-1	chr9	136283137	136283353	+	298.1	0.860	162.000000	117.35	0.00e+00	0.95
chr20-2	chr20	2451366	2451582	+	284.1	0.958	183.000000	132.00	0.00e+00	0.84
chr1-6	chr1	44678982	44679198	+	282.4	0.965	172.000000	126.62	0.00e+00	0.88
chr6-2	chr6	58777221	58777437	+	271.9	0.576	128.000000	5.85	2.35e-127	1.15
chr12-4	chr12	20704363	20704579	+	271.9	0.753	124.000000	560.83	0.00e+00	1.18
chr16-4	chr16	33963147	33963363	+	267.5	0.722	128.000000	17.46	3.83e-257	1.22
chr16-2	chr16	2653238	2653454	+	262.3	0.954	163.000000	225.41	0.00e+00	0.89
chr17-1	chr17	31149643	31149859	+	262.3	0.689	159.000000	83.49	0.00e+00	0.95
chr5-3	chr5	71146771	71146987	+	260.5	0.661	136.000000	144.46	0.00e+00	1.08
chr6-4	chr6	119558490	119558706	+	257.0	0.914	99.000000	276.13	0.00e+00	1.49
chr8-1	chr8	56987023	56987239	+	250.0	0.975	162.000000	146.01	0.00e+00	0.87
chr13-2	chr13	52768497	52768713	+	246.5	0.888	155.000000	141.26	0.00e+00	0.90
chr12-1	chr12	69080623	69080839	+	242.1	0.920	159.000000	99.90	0.00e+00	0.90
chr5-2	chr5	102455765	102455981	+	231.7	0.862	159.000000	101.25	0.00e+00	0.85
chr5-1	chr5	74062896	74063112	+	230.8	0.928	159.000000	129.37	0.00e+00	0.84
chr1-7	chr1	1310518	1310734	+	229.9	0.770	168.000000	37.76	6.85e-306	0.83
chr12-2	chr12	124086496	124086712	+	224.7	0.908	148.000000	152.45	0.00e+00	0.90
chrX-1	chrX	108297642	108297858	+	224.7	0.777	122.000000	251.88	0.00e+00	1.10
chr19-4	chr19	12780200	12780416	+	222.0	0.825	117.000000	61.65	0.00e+00	1.12
chr22-1	chr22	31556020	31556236	+	222.0	0.921	148.000000	170.91	0.00e+00	0.89
chr16-3	chr16	2732349	2732565	+	219.4	0.917	155.000000	148.89	0.00e+00	0.83
chr8-2	chr8	37707348	37707564	+	217.7	0.925	155.000000	81.94	0.00e+00	0.85
chr11-4	chr11	59578179	59578395	+	216.8	0.947	148.000000	117.69	0.00e+00	0.87
chr11-3	chr11	68671225	68671441	+	215.9	0.918	162.000000	114.80	0.00e+00	0.79
chr19-2	chr19	50879500	50879716	+	215.9	0.954	151.000000	98.54	0.00e+00	0.85
chr6-1	chr6	58778823	58779039	+	211.6	0.459	134.000000	4.54	2.64e-79	0.95
chr15-1	chr15	35261892	35262108	+	198.4	0.931	127.000000	165.06	0.00e+00	0.97
chr20-5	chr20	62289537	62289753	+	198.4	0.900	126.000000	64.36	8.34e-316	0.97
chr11-5	chr11	47429869	47430085	+	194.9	0.910	134.000000	64.86	5.19e-311	0.90
chr2-4	chr2	133012653	133012869	+	194.1	0.681	106.000000	17.29	3.33e-186	1.17
chr2-1	chr2	242041649	242041865	+	194.1	0.924	141.000000	101.67	0.00e+00	0.86
chr2-7	chr2	230045407	230045623	+	190.6	0.813	91.000000	287.74	0.00e+00	1.37
chr7-2	chr7	44530183	44530399	+	185.3	0.958	125.000000	83.11	2.75e-318	0.98
chr2-3	chr2	55496273	55496489	+	184.5	0.892	129.000000	126.83	0.00e+00	0.90
chr3-1	chr3	53381536	53381752	+	183.6	0.924	141.000000	114.07	0.00e+00	0.83
chr19-3	chr19	59031115	59031331	+	181.0	0.773	134.000000	45.52	1.33e-257	0.87
chr20-6	chr20	31989253	31989469	+	181.0	0.951	121.000000	176.08	0.00e+00	0.95
chr1-8	chr1	163291499	163291715	+	176.6	0.918	135.000000	113.83	0.00e+00	0.85
chr8-3	chr8	21867701	21867917	+	175.7	0.924	137.000000	97.44	1.31e-315	0.82
chr12-3	chr12	109490231	109490447	+	174.8	0.911	131.000000	180.33	0.00e+00	0.85
chr2-2	chr2	233415231	233415447	+	174.0	0.919	132.000000	112.14	0.00e+00	0.87
chr11-7	chr11	65769642	65769858	+	174.0	0.833	111.000000	59.12	1.58e-268	1.01
chr20-4	chr20	34542342	34542558	+	174.0	0.918	134.000000	69.20	7.39e-282	0.85
chr3-2	chr3	52029832	52030048	+	172.2	0.915	125.000000	81.48	3.07e-294	0.88
chr5-4	chr5	167913313	167913529	+	169.6	0.913	126.000000	118.19	8.32e-321	0.89
chr8-4	chr8	145133364	145133580	+	169.6	0.857	134.000000	40.45	1.85e-229	0.82
chr14-1	chr14	24658041	24658257	+	168.7	0.937	129.000000	92.08	6.59e-297	0.86
chr18-5	chr18	18520195	18520411	+	168.7	0.940	56.000000	9.83	1.66e-118	1.97
chr11-6	chr11	31391269	31391485	+	166.1	0.980	114.000000	147.69	0.00e+00	0.95
chr12-6	chr12	132195470	132195686	+	163.5	0.851	120.000000	74.61	2.43e-272	0.89
chr10-13	chr10	42392626	42392842	+	162.6	0.974	57.000000	12.71	3.82e-133	1.85
chr8-8	chr8	70602283	70602499	+	161.7	0.799	87.000000	117.22	1.93e-300	1.27
chr6-3	chr6	131949288	131949504	+	160.9	0.940	119.000000	116.83	1.84e-303	0.89
chr10-11	chr10	42385085	42385301	+	160.9	0.927	66.000000	12.47	2.20e-130	1.59
chr13-3	chr13	31191886	31192102	+	160.0	0.915	120.000000	86.84	1.76e-278	0.88
chr1-13	chr1	63988952	63989168	+	159.1	0.909	86.000000	73.26	1.08e-263	1.22
chr12-5	chr12	124118142	124118358	+	156.5	0.894	120.000000	77.59	8.65e-264	0.87
chr16-5	chr16	89787253	89787469	+	154.7	0.885	120.000000	44.09	3.72e-218	0.86
chr10-1	chr10	43278100	43278316	+	153.0	0.878	122.000000	103.22	8.46e-278	0.83
chr10-2	chr10	75490189	75490405	+	152.1	0.883	121.000000	62.26	4.48e-240	0.86
chr17-3	chr17	49230787	49231003	+	151.2	0.934	114.000000	101.29	8.20e-275	0.88
chr15-2	chr15	85259266	85259482	+	150.4	0.935	114.000000	79.13	5.41e-255	0.89
chr22-2	chr22	22337129	22337345	+	149.5	0.932	118.000000	100.12	8.37e-271	0.87
chr8-6	chr8	22462085	22462301	+	147.7	0.842	113.000000	63.65	1.89e-233	0.87
chr19-5	chr19	45582373	45582589	+	147.7	0.894	116.000000	57.72	9.01e-228	0.86
chr1-10	chr1	183441062	183441278	+	146.0	0.869	94.000000	69.29	9.86e-237	1.05
chr8-5	chr8	143751313	143751529	+	146.0	0.948	119.000000	83.65	1.26e-251	0.83
chr13-4	chr13	53191487	53191703	+	142.5	0.960	107.000000	126.70	9.49e-275	0.92
chr10-3	chr10	53459303	53459519	+	141.6	0.889	100.000000	64.63	3.00e-226	0.98
chr16-6	chr16	31085568	31085784	+	141.6	0.887	117.000000	38.64	8.66e-191	0.83
chr22-3	chr22	46731470	46731686	+	141.6	0.926	106.000000	60.86	4.35e-222	0.92
chr1-9	chr1	173683924	173684140	+	140.7	0.928	100.000000	70.47	8.03e-231	0.95
chr9-2	chr9	37800645	37800861	+	140.7	0.935	116.000000	93.06	5.06e-250	0.82
chr14-2	chr14	105282328	105282544	+	140.7	0.921	116.000000	61.79	4.80e-219	0.82
chr2-5	chr2	201753909	201754125	+	139.9	0.789	103.000000	59.61	5.91e-218	0.96
chr18-1	chr18	22006473	22006689	+	138.1	0.898	110.000000	82.83	1.68e-237	0.86
chr14-3	chr14	57260906	57261122	+	137.2	0.961	100.000000	36.30	8.31e-181	0.94
chr20-7	chr20	57226148	57226364	+	136.4	0.939	116.000000	36.07	3.02e-179	0.82
chr3-4	chr3	101280533	101280749	+	135.5	0.935	104.000000	158.81	1.82e-276	0.89
chr19-6	chr19	11039332	11039548	+	135.5	0.881	113.000000	85.22	6.37e-235	0.82
chr3-5	chr3	149470217	149470433	+	134.6	0.976	100.000000	128.57	1.16e-260	0.97
chr20-10	chr20	5093663	5093879	+	134.6	0.951	98.000000	76.29	4.11e-226	0.94
chr7-3	chr7	32529912	32530128	+	133.8	0.955	91.000000	93.21	8.28e-238	1.04
chr12-13	chr12	127650411	127650627	+	133.8	0.875	69.000000	67.62	9.41e-217	1.33
chr17-4	chr17	80023630	80023846	+	133.8	0.912	102.000000	49.98	5.18e-197	0.93
chr16-7	chr16	1470719	1470935	+	132.9	0.914	116.000000	71.38	7.23e-219	0.81
chr16-8	chr16	1823053	1823269	+	132.9	0.893	106.000000	26.06	6.15e-154	0.88
chr19-8	chr19	58892039	58892255	+	132.0	0.920	106.000000	64.22	1.30e-210	0.86
chr10-6	chr10	114206749	114206965	+	131.1	0.811	77.000000	62.20	8.28e-206	1.20
chr3-3	chr3	128880077	128880293	+	130.3	0.812	107.000000	23.17	1.08e-142	0.90
chr20-8	chr20	1099083	1099299	+	129.4	0.948	105.000000	87.79	2.70e-226	0.87
chr9-3	chr9	35812180	35812396	+	128.5	0.981	87.000000	51.77	1.44e-191	1.02
chr16-9	chr16	21610726	21610942	+	125.0	0.883	97.000000	77.67	3.35e-211	0.90
chr8-7	chr8	145158610	145158826	+	124.1	0.853	98.000000	30.34	5.37e-153	0.90
