# HOMER Peaks
# Peak finding parameters:
# tag directory = encodeDataTags/
#
# total peaks = 36509
# peak size = 168
# peaks found using tags on both strands
# minimum distance between peaks = 336
# fragment length = 152
# genome size = 2000000000
# Total tags = 14281713.0
# Total tags in peaks = 823828.0
# Approximate IP efficiency = 5.77%
# tags per bp = 0.006445
# expected tags per peak = 1.083
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.140296e-06
# FDR tag threshold = 9.0
# number of putative peaks = 52850
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 16252
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 89
#
# cmd = findPeaks encodeDataTags/ -style factor -o homerEncodePeaks
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-4716	chr1	149034306	149034474	+	14.7	0.955	10.000000	11.93	5.24e-16	1.71
chr5-1397	chr5	46336240	46336408	+	14.7	0.917	10.000000	26.15	8.77e-23	1.71
chr9-1895	chr9	66843769	66843937	+	14.7	0.955	10.000000	28.58	1.45e-23	1.71
chr12-1796	chr12	34801492	34801660	+	14.7	0.957	9.000000	49.16	2.23e-28	1.90
chr10-1739	chr10	39123504	39123672	+	14.0	0.870	9.000000	7.41	1.34e-11	1.90
chr8-1525	chr8	46980852	46981020	+	13.3	0.950	9.000000	35.87	2.76e-23	1.80
chr9-2221	chr9	70010165	70010333	+	13.3	0.950	9.000000	370.65	2.39e-42	1.80
chr1-4310	chr1	11753321	11753489	+	12.6	0.870	10.000000	6.80	5.27e-10	1.53
chr2-2514	chr2	92286676	92286844	+	12.6	0.909	9.000000	4.13	8.29e-07	1.91
chr7-2629	chr7	142324	142492	+	11.9	0.913	9.000000	12.92	8.63e-14	1.60
chr8-1451	chr8	21455997	21456165	+	11.9	0.913	9.000000	24.87	2.20e-18	1.80
chr10-1448	chr10	39101236	39101404	+	11.9	0.750	10.000000	15.55	4.59e-15	1.44
chr2-2067	chr2	38870196	38870364	+	11.2	0.842	10.000000	10.40	1.10e-11	1.35
chr4-1145	chr4	125553066	125553234	+	11.2	0.909	10.000000	22.29	1.15e-16	1.35
chr5-1697	chr5	49502022	49502190	+	11.2	0.944	9.000000	24.64	2.49e-17	1.50
chrX-658	chrX	10133673	10133841	+	11.2	0.818	10.000000	15.61	2.72e-14	1.35
chr1-5839	chr1	92269445	92269613	+	10.5	0.842	9.000000	8.87	4.18e-10	1.39
chr1-5941	chr1	145098663	145098831	+	10.5	0.842	9.000000	4.69	1.44e-06	1.39
