chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	5106767	5106935	169	5106842	7.00	8.33858	5.90319	5.92296	macs2Out_peak_14
chr1	5220988	5221101	114	5221078	7.00	8.40048	5.93174	5.97408	macs2Out_peak_15
chr1	6197013	6197123	111	6197056	5.00	5.73218	4.44881	3.43616	macs2Out_peak_18
chr1	6214147	6214257	111	6214203	9.00	7.73747	5.49028	5.34517	macs2Out_peak_19
chr1	6215197	6215341	145	6215261	8.00	6.64858	4.94125	4.31239	macs2Out_peak_21
chr1	6496690	6496849	160	6496756	13.00	9.73569	6.00343	7.26398	macs2Out_peak_32
chr1	6676655	6676765	111	6676726	7.00	8.40048	5.93174	5.97408	macs2Out_peak_37
chr1	6678351	6678461	111	6678402	6.00	7.03765	5.19028	4.67190	macs2Out_peak_38
chr1	6783311	6783421	111	6783374	7.00	8.40048	5.93174	5.97408	macs2Out_peak_39
chr1	6976386	6976496	111	6976440	6.00	6.98376	5.16529	4.63255	macs2Out_peak_40
chr1	7059720	7059830	111	7059771	6.00	7.03765	5.19028	4.67190	macs2Out_peak_41
chr1	7066435	7066545	111	7066480	7.00	8.40048	5.93174	5.97408	macs2Out_peak_42
chr1	7086119	7086237	119	7086155	10.00	8.30557	5.69240	5.89165	macs2Out_peak_43
chr1	7088623	7088739	117	7088642	9.00	7.00115	5.03043	4.64902	macs2Out_peak_44
chr1	7111602	7111752	151	7111695	13.00	9.50985	5.86387	7.04584	macs2Out_peak_45
chr1	8093061	8093202	142	8093097	6.00	7.03765	5.19028	4.67190	macs2Out_peak_53
chr1	9547984	9548174	191	9548080	11.00	8.34786	5.54145	5.93191	macs2Out_peak_56
chr1	9630131	9630277	147	9630191	7.00	7.51590	5.49790	5.13210	macs2Out_peak_60
chr1	9700584	9700702	119	9700676	8.00	9.09835	6.33000	6.64796	macs2Out_peak_63
chr1	9782484	9782600	117	9782545	6.00	7.03765	5.19028	4.67190	macs2Out_peak_68
chr1	9813053	9813187	135	9813127	12.00	9.70377	6.19372	7.23306	macs2Out_peak_72
