# HOMER Peaks
# Peak finding parameters:
# tag directory = outputdir/
#
# total peaks = 86424
# peak size = 154
# peaks found using tags on both strands
# minimum distance between peaks = 308
# fragment length = 114
# genome size = 2000000000
# Total tags = 9838548.0
# Total tags in peaks = 4277186.0
# Approximate IP efficiency = 43.47%
# tags per bp = 0.003851
# expected tags per peak = 0.593
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.055958e-06
# FDR tag threshold = 7.0
# number of putative peaks = 105817
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 19381
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 12
#
# cmd = findPeaks outputdir/ -style factor -o homerPeaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-5323	chr1	102628185	102628339	+	26.4	0.966	10.000000	166.23	2.38e-48	1.88
chrUn_JH584304-53	chrUn_JH584304	113227	113381	+	21.3	0.955	9.000000	61.03	2.59e-30	1.69
chr1-6346	chr1	136364839	136364993	+	19.3	0.864	8.000000	50.62	4.64e-26	1.92
chr6-5586	chr6	68761324	68761478	+	18.3	0.947	7.000000	88.53	4.50e-29	1.92
chr16-2770	chr16	30262227	30262381	+	18.3	0.900	10.000000	10.01	1.11e-12	1.34
chr1-5398	chr1	153408533	153408687	+	17.3	0.810	10.000000	18.74	2.17e-16	1.25
chr2-6220	chr2	90395083	90395237	+	17.3	0.944	10.000000	543.45	7.17e-41	1.25
chr2-6367	chr2	155591397	155591551	+	17.3	0.944	10.000000	18.11	3.74e-16	1.25
chr4-4412	chr4	4793243	4793397	+	17.3	0.680	10.000000	17.25	8.17e-16	1.25
chr4-4630	chr4	124741547	124741701	+	17.3	0.750	10.000000	8.17	1.01e-10	1.25
chr6-4548	chr6	41510110	41510264	+	17.3	0.810	9.000000	83.61	3.98e-27	1.39
chr8-3603	chr8	11069667	11069821	+	17.3	0.944	10.000000	11.09	9.44e-13	1.25
chr8-4525	chr8	125233431	125233585	+	17.3	0.944	8.000000	63.94	3.58e-25	1.56
chr10-5535	chr10	11492080	11492234	+	17.3	0.944	7.000000	98.81	2.40e-28	1.79
chr10-4402	chr10	59564791	59564945	+	17.3	0.850	10.000000	21.31	2.71e-17	1.39
chr14-2924	chr14	31493998	31494152	+	17.3	0.682	10.000000	5.63	2.36e-08	1.25
chr14-2953	chr14	53357584	53357738	+	17.3	0.895	10.000000	16.22	2.32e-15	1.25
chr14-3054	chr14	121280708	121280862	+	17.3	0.850	10.000000	22.64	1.01e-17	1.25
chr19-2637	chr19	33158896	33159050	+	17.3	0.800	10.000000	20.51	5.06e-17	1.39
chr1-5605	chr1	58294871	58295025	+	16.3	0.941	9.000000	23.25	6.08e-17	1.29
chr1-5238	chr1	66814828	66814982	+	16.3	0.941	10.000000	7.47	1.27e-09	1.16
chr1-5267	chr1	80722777	80722931	+	16.3	0.895	10.000000	6.47	9.13e-09	1.16
chr1-5732	chr1	105199459	105199613	+	16.3	0.941	9.000000	127.87	1.52e-28	1.29
chr1-5411	chr1	157533243	157533397	+	16.3	0.833	10.000000	68.20	3.19e-24	1.16
chr1-5415	chr1	160049211	160049365	+	16.3	0.950	10.000000	7.47	1.27e-09	1.16
chr1-5907	chr1	170528703	170528857	+	16.3	0.889	9.000000	51.15	2.94e-22	1.29
chr1-5513	chr1	191006432	191006586	+	16.3	0.950	10.000000	8.82	1.20e-10	1.16
chr2-6253	chr2	105989914	105990068	+	16.3	0.941	10.000000	46.50	1.31e-21	1.16
chr3-4000	chr3	90508975	90509129	+	16.3	0.737	10.000000	9.30	5.61e-11	1.16
chr3-4025	chr3	97161995	97162149	+	16.3	0.857	10.000000	6.52	8.37e-09	1.29
