# HOMER Peaks
# Peak finding parameters:
# tag directory = outputdir/
#
# total peaks = 86424
# peak size = 154
# peaks found using tags on both strands
# minimum distance between peaks = 308
# fragment length = 114
# genome size = 2000000000
# Total tags = 9838548.0
# Total tags in peaks = 4277186.0
# Approximate IP efficiency = 43.47%
# tags per bp = 0.003851
# expected tags per peak = 0.593
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.055958e-06
# FDR tag threshold = 7.0
# number of putative peaks = 105817
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 19381
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 12
#
# cmd = findPeaks outputdir/ -style factor -o homerPeaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr2-1	chr2	98667058	98667212	+	29285.8	0.861	294.000000	73.10	0.00e+00	0.54
chr9-3	chr9	35305384	35305538	+	2673.2	0.936	258.000000	306.84	0.00e+00	0.60
chrUn_JH584304-1	chrUn_JH584304	59688	59842	+	1989.1	0.891	309.000000	72.37	0.00e+00	0.50
chr17-1	chr17	39843395	39843549	+	1293.9	0.702	295.000000	9.76	0.00e+00	0.52
chr14-92	chr14	19417802	19417956	+	1167.9	0.894	141.000000	32.74	0.00e+00	1.09
chr6-1	chr6	52842695	52842849	+	1145.5	0.939	282.000000	373.34	0.00e+00	0.55
chr2-2	chr2	157063502	157063656	+	1038.8	0.881	279.000000	222.25	0.00e+00	0.55
chr13-1	chr13	58503714	58503868	+	915.8	0.868	280.000000	281.00	0.00e+00	0.54
chr1-1	chr1	180261101	180261255	+	852.8	0.899	274.000000	72.78	0.00e+00	0.56
chr9-2	chr9	48558826	48558980	+	849.7	0.931	259.000000	275.51	0.00e+00	0.59
