PeakID	chr	start	end	strand	NormalizedTagCount	focusratio	findPeaksScore	FoldChangevsLocal	p-valuevsLocal	ClonalFoldChange
chrM-2	chrM	22	190	+	2877.8	0.624	272.000000	27.00	0.00e+00	0.62
chrM-1	chrM	16176	16344	+	2739.9	0.754	281.000000	14.64	0.00e+00	0.61
chr1-10	chr1	121485085	121485253	+	922.2	0.649	137.000000	20.85	0.00e+00	1.26
chr22-1	chr22	19710863	19711031	+	761.8	0.861	318.000000	37.21	0.00e+00	0.53
chr1-1	chr1	156186351	156186519	+	719.1	0.566	312.000000	50.68	0.00e+00	0.54
chr21-1	chr21	9826071	9826239	+	711.4	0.581	319.000000	9.16	0.00e+00	0.52
chr21-2	chr21	9825619	9825787	+	658.9	0.563	312.000000	8.40	0.00e+00	0.54
chr21-3	chr21	9826869	9827037	+	658.9	0.692	273.000000	8.38	0.00e+00	0.61
chr20-1	chr20	26190031	26190199	+	656.8	0.615	239.000000	24.74	0.00e+00	0.70
chr1-2	chr1	47646947	47647115	+	585.4	0.896	291.000000	116.49	0.00e+00	0.57
chr18-1	chr18	108151	108319	+	573.5	0.591	251.000000	9.91	0.00e+00	0.67
chr7-6	chr7	61969269	61969437	+	552.5	0.841	111.000000	45.05	0.00e+00	1.55
chr18-2	chr18	108900	109068	+	447.4	0.579	208.000000	7.46	9.81e-320	0.79
chr16-2	chr16	89070628	89070796	+	392.8	0.963	253.000000	112.44	0.00e+00	0.64
chr16-1	chr16	85415693	85415861	+	392.1	0.903	259.000000	61.26	0.00e+00	0.62
chr19-1	chr19	13213580	13213748	+	326.3	0.856	235.000000	38.47	0.00e+00	0.67
chr12-1	chr12	50444614	50444782	+	312.3	0.968	212.000000	171.72	0.00e+00	0.73
chr20-4	chr20	26188954	26189122	+	299.0	0.662	144.000000	9.16	7.21e-248	1.06
chr1-3	chr1	47697982	47698150	+	296.9	0.892	205.000000	67.43	0.00e+00	0.75
chr16-3	chr16	88558178	88558346	+	274.5	0.847	213.000000	46.44	0.00e+00	0.70
chr5-1	chr5	154033514	154033682	+	269.6	0.922	212.000000	119.85	0.00e+00	0.69
chr16-4	chr16	87888191	87888359	+	256.3	0.898	199.000000	58.21	0.00e+00	0.73
chr16-8	chr16	33963157	33963325	+	255.6	0.906	116.000000	16.24	1.59e-295	1.27
chr19-2	chr19	44278718	44278886	+	249.3	0.886	208.000000	79.52	0.00e+00	0.69
chr1-5	chr1	161136259	161136427	+	248.6	0.945	186.000000	81.80	0.00e+00	0.77
chr19-3	chr19	14117870	14118038	+	246.5	0.863	198.000000	74.37	0.00e+00	0.72
chr11-7	chr11	85194956	85195124	+	245.8	0.772	108.000000	82.83	0.00e+00	1.36
chr1-4	chr1	44501701	44501869	+	239.5	0.900	204.000000	63.14	0.00e+00	0.70
chrX-5	chrX	108297657	108297825	+	238.1	0.716	94.000000	155.45	0.00e+00	1.50
